                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.86205,                0.43285,                0.90493,                0.96471,                0.93397,                0.98022,                0.71298,                  1.012,                 0.4821,                0.99305,             0.00024762,             0.00024762,             0.00024762
                     83,                0.87178,                0.43731,                0.90821,                0.95204,                0.95105,                0.98238,                 0.7078,                 1.0386,                0.46716,                0.99888,             0.00023525,             0.00023525,             0.00023525
                     84,                0.87991,                0.43627,                0.90486,                0.94925,                0.94674,                0.98049,                0.69165,                 1.0325,                0.45964,                  1.003,             0.00022288,             0.00022288,             0.00022288
                     85,                 0.8595,                0.42992,                0.90057,                 0.9467,                0.95146,                0.97857,                0.71243,                 1.0319,                0.45941,                 1.0021,              0.0002105,              0.0002105,              0.0002105
                     86,                0.88308,                0.43848,                 0.9053,                0.95703,                0.94543,                0.98091,                0.69387,                 1.0534,                0.46545,                 1.0057,             0.00019813,             0.00019813,             0.00019813
                     87,                0.88565,                0.43178,                 0.9066,                 0.9673,                0.96086,                0.98332,                0.70809,                 1.0144,                0.44718,                0.99446,             0.00018575,             0.00018575,             0.00018575
                     88,                0.87075,                0.43623,                0.90233,                0.94724,                 0.9603,                0.98038,                0.70293,                 1.0139,                0.45248,                0.99107,             0.00017338,             0.00017338,             0.00017338
                     89,                0.87823,                 0.4383,                 0.9089,                0.93031,                0.95968,                0.97528,                0.70585,                 1.0195,                0.45026,                0.98809,               0.000161,               0.000161,               0.000161
                     90,                0.86559,                0.42683,                0.90904,                0.93135,                0.96074,                 0.9754,                0.70365,                 1.0368,                0.45747,                0.99567,             0.00014862,             0.00014862,             0.00014862
                     91,                0.86755,                0.41915,                0.89762,                0.91468,                0.95116,                0.95212,                0.68522,                 1.0199,                  0.457,                0.99768,             0.00013625,             0.00013625,             0.00013625
                     92,                0.83616,                0.39749,                0.89198,                0.90613,                 0.9464,                0.96144,                0.69516,                  1.027,                0.46123,                 1.0103,             0.00012387,             0.00012387,             0.00012387
                     93,                0.84587,                0.39859,                0.89978,                0.97381,                0.94711,                0.98228,                0.71372,                0.99472,                0.44994,                0.99378,              0.0001115,              0.0001115,              0.0001115
                     94,                0.83074,                 0.3924,                0.89925,                0.95629,                0.95891,                0.98176,                0.71176,                0.99798,                0.45987,                0.99292,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 0.8373,                0.39184,                0.89182,                0.96899,                0.95172,                0.98487,                0.71197,                  1.005,                0.44806,                 0.9929,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.82301,                0.39035,                 0.8864,                0.94791,                0.95895,                0.97548,                0.69696,                 1.0146,                0.45402,                0.99863,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.82028,                0.38639,                0.88136,                0.96194,                 0.9604,                0.98172,                0.69319,                 1.0234,                0.45359,                 1.0052,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.81035,                0.38137,                0.87856,                0.96429,                0.96083,                0.98161,                0.70527,                  1.002,                0.44985,                0.99456,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.80463,                0.37878,                0.88218,                0.96807,                0.95791,                0.98278,                0.70355,                 1.0154,                0.45297,                0.99953,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.79797,                 0.3736,                0.88513,                0.95239,                0.96347,                0.98175,                0.70649,                  1.009,                0.45305,                0.99726,             2.4875e-05,             2.4875e-05,             2.4875e-05
